loan_grade,vintage_year,total_upb,total_el,el_rate
A,2005,1593804000,4209307.3563178,0.0026410445426901926
A,2006,1731291000,11640839.647703148,0.006723791464117325
A,2007,1914983000,13129821.936308037,0.006856364749090743
A,2008,2843224000,11485164.705008049,0.004039486408741643
A,2009,4661049000,3230803.0972949658,0.0006931493527090073
A,2010,4153038000,1756581.4529007326,0.0004229630099461485
A,2011,4081422000,907196.3543919757,0.00022227457841702614
A,2012,4165393000,637066.9808545504,0.0001529428269684398
A,2013,3312647000,520705.6965026725,0.00015718719697651833
A,2014,2409225000,350645.6279315436,0.0001455429143942735
A,2015,3289158000,335877.7027780218,0.0001021166215724577
A,2016,3158627000,305418.95264386665,9.669358004090595e-05
A,2017,2641598000,261150.53597584367,9.886081681461134e-05
A,2018,2344717000,249982.86789524276,0.00010661536888897157
A,2019,2752306000,297875.3592924401,0.00010822755874253812
A,2020,5212640000,617956.0776477642,0.00011854954066418633
A,2021,5181411000,573723.9765217332,0.00011072736297540056
A,2022,3222748000,490535.0706570335,0.00015221018542468522
A,2023,3122483000,1046687.027585173,0.00033520984024097906
A,2024,3968919000,1372422.3205379853,0.00034579247410642175
A,2025,3859599000,1295996.5086225783,0.0003357852742273429
B,2005,2245180000,28620915.484707013,0.012747715321135505
B,2006,2809496000,64796167.8776342,0.02306327109119721
B,2007,2773244000,69905702.38651116,0.02520719503459168
B,2008,3160886000,40187076.75131545,0.012713864641532612
B,2009,3641697000,10013066.002128072,0.002749560439028308
B,2010,3382131000,5997359.421549185,0.0017732487066731552
B,2011,3155680000,3571029.1794802556,0.0011316195493460222
B,2012,2835730000,1218427.0815530776,0.0004296696376428918
B,2013,2955606000,1058281.182265637,0.00035805895043711407
B,2014,3432244000,1198528.249520211,0.00034919669158725634
B,2015,3712249000,834116.4110809325,0.0002246930125325463
B,2016,3726921000,650084.1584065033,0.00017442928315531864
B,2017,3768677000,506560.9996477654,0.00013441348240981262
B,2018,3835226000,547886.5781269083,0.00014285639962988055
B,2019,4121766000,591922.7342189597,0.0001436090098804638
B,2020,4443039000,705693.6273487657,0.00015883129257896806
B,2021,4475243000,689047.0113747502,0.0001539686250276801
B,2022,4574254000,921944.3954129443,0.0002015507655265633
B,2023,4651650000,1793148.6831413638,0.0003854865871553887
B,2024,5213684000,2100037.1242169,0.0004027933269866183
B,2025,4959562000,1942768.7662599357,0.00039172184282804324
C,2005,1521128000,33171697.80361244,0.021807302083462037
C,2006,1926124000,77073630.78750984,0.04001488522416513
C,2007,1931962000,85234075.10747592,0.04411788384423499
C,2008,2185077000,60276656.972035885,0.02758559857251524
C,2009,1557103000,10013813.605838811,0.00643105408302393
C,2010,1619145000,5857631.929871039,0.003617731537244064
C,2011,1518810000,3744075.8668469675,0.0024651377505066252
C,2012,1282923000,1460456.765622413,0.0011383822455614352
C,2013,1608433000,1666022.342623357,0.0010358046263806804
