feature,IV,predictive_power
interest_rate,0.2651,Medium
rate_spread,0.2651,Medium
vintage_age,0.1773,Medium
log_orig_upb,0.1574,Medium
orig_upb,0.1574,Medium
ltv_ratio,0.1556,Medium
oltv,0.1556,Medium
dq_severity_score,0.1008,Medium
total_dq_events,0.0962,Weak
composite_risk,0.0917,Weak
credit_score,0.0285,Weak
cs_normalized,0.0285,Weak
ltv_dti_interact,0.0133,Useless
dti_ratio,0.0116,Useless
dti,0.0116,Useless
high_ltv_flag,0.0,Useless
underwater_flag,0.0,Useless
subprime_flag,0.0,Useless
severe_dq_flag,0.0,Useless
ever_60dq,0.0,Useless
repeat_dq_flag,0.0,Useless
investor_flag,0.0,Useless
cash_out_flag,0.0,Useless
crisis_vintage,0.0,Useless
high_dti_flag,0.0,Useless
